internship_id,title,required_skills,qualification_required,location,sector,capacity,priority_category
I0001,Software Developer Intern,html nodejs sql,B.Sc CS,Delhi,software,5,Rural
I0002,Paralegal Intern,case summaries contract review drafting legal research,LLB,Mumbai,law,13,Rural
I0003,Video Editing Intern,figma illustrator photoshop uiux design video editing,B.Sc CS,Jaipur,design,7,
I0004,Risk Analyst Intern,accounting budgeting risk analysis,B.Com,Pune,finance,25,Rural
I0005,Clinical Assistant Intern,clinical procedures first aid,MBBS,Kolkata,healthcare,32,
I0006,Clinical Assistant Intern,clinical procedures nursing patient care,M.Sc Nursing,Pune,healthcare,9,
I0007,Teaching Assistant Intern,curriculum design instructional design mentoring teaching,M.Sc Nursing,Hyderabad,education,41,Rural
I0008,Patient Care Intern,clinical procedures nursing,BDS,Jaipur,healthcare,22,Rural
I0009,EdTech Content Intern,content writing instructional design,BBA,Chennai,education,9,ST
I0010,Accounting Intern,accounting risk analysis,BBA,Chennai,finance,19,ST
I0011,Instructional Design Intern,content writing curriculum design mentoring,MBA,Chennai,education,26,Rural
I0012,Sales & Growth Intern,digital marketing sales,MBA,Pune,marketing,29,ST
I0013,Video Editing Intern,photoshop uiux design,B.Des,Jaipur,design,10,EWS
I0014,SEO Intern,digital marketing market research seo sales social media,MBA,Kolkata,marketing,10,ST
I0015,Business Intelligence Intern,data analysis power bi python,B.Tech CSE,Pune,data science,11,EWS
I0016,Data Scientist Intern,machine learning pytorch tensorflow,B.Tech ECE,Bangalore,aiml,32,SC
I0017,Medical Research Intern,clinical procedures patient care,BDS,Bangalore,healthcare,10,ST
I0018,Risk Analyst Intern,excel risk analysis,B.Com,Pune,finance,21,ST
I0019,Data Analyst Intern,data analysis power bi statistics,B.Tech Mechanical,Bangalore,data science,46,EWS
I0020,ETL Intern,etl excel statistics,M.Tech,Jaipur,data science,30,
I0021,Clinical Assistant Intern,first aid medical research,MBBS,Chennai,healthcare,14,Rural
I0022,Production Intern,cad production planning quality control,B.Tech Civil,Kolkata,manufacturing,28,EWS
I0023,ML Research Intern,data analysis deep learning machine learning,M.Tech,Pune,aiml,26,ST
I0024,AI Engineer Intern,machine learning pytorch python sql tensorflow,B.Tech CSE,Mumbai,aiml,34,EWS
I0025,Instructional Design Intern,curriculum design mentoring,BDS,Chennai,education,46,EWS
I0026,AgriTech Intern,crop management soil testing,B.Sc Agriculture,Hyderabad,agriculture,38,EWS
I0027,Quality Control Intern,cad electrical circuits mechanical design production planning quality control,B.Tech ECE,Mumbai,manufacturing,7,ST
I0028,Data Analyst Intern,etl sql statistics,MCA,Delhi,data science,7,EWS
I0029,SEO Intern,digital marketing market research seo sales social media,MBA,Chennai,marketing,40,SC
I0030,Risk Analyst Intern,accounting budgeting excel financial analysis risk analysis,B.Com,Jaipur,finance,44,
I0031,Paralegal Intern,case summaries contract review drafting legal research,LLB,Delhi,law,41,ST
I0032,Instructional Design Intern,content writing curriculum design instructional design teaching,BDS,Pune,education,8,
I0033,Production Intern,cad electrical circuits mechanical design production planning quality control,B.Tech Mechanical,Delhi,manufacturing,49,SC
I0034,Video Editing Intern,figma illustrator photoshop uiux design video editing,B.Des,Pune,design,19,EWS
I0035,Paralegal Intern,case summaries legal research,LLB,Jaipur,law,43,ST
I0036,Instructional Design Intern,content writing mentoring teaching,MBBS,Chennai,education,19,Rural
I0037,UI/UX Intern,figma illustrator photoshop uiux design video editing,B.Des,Chennai,design,17,EWS
I0038,UI/UX Intern,illustrator uiux design video editing,B.Tech Mechanical,Mumbai,design,46,
